Name,Decks
Tokens,185260
+1/+1 Counters,153597
Artifacts,128929
Combo,106373
Lifegain,95558
Aggro,88370
Spellslinger,83032
Aristocrats,75218
Reanimator,72253
Lands Matter,71276
Treasure,70652
Equipment,66567
Control,60461
Burn,58436
Enchantress,57013
Ramp,55010
Mill,52751
Voltron,50967
Midrange,48074
Sacrifice,46846
Wheels,45081
cEDH,42334
Auras,41100
Legends,37145
Blink,36010
Discard,33049
Clones,29034
Graveyard,26563
Landfall,26311
Flying,25375
Infect,24735
Card Draw,23894
Birthing Pod,23374
Big Mana,23307
Stax,22926
Group Slug,21750
Storm,21738
Historic,21576
Planeswalkers,20622
Extra Combats,20571
Chaos,19063
Theft,19038
Good Stuff,18442
Cantrips,18107
Group Hug,17807
Vehicles,17737
Self-Mill,17011
X Spells,16946
Forced Combat,16230
Exile,15887
Toughness Matters,14116
Topdeck,13904
Commander Matters,13310
Cascade,12693
Hatebears,12491
Energy,12358
-1/-1 Counters,12305
Ninjutsu,12250
Spell Copy,11977
Toolbox,11931
Pillow Fort,11169
Lifedrain,11121
Stompy,10499
Tempo,10490
Extra Turns,10318
Sagas,9692
Clues,8710
Dredge,8519
ETB,8514
Self-Damage,8328
Land Destruction,7915
Proliferate,7671
Monarch,7158
Affinity,6468
Morph,6460
Deathtouch,6433
Attack Triggers,6330
Rat Colony,6300
Cycling,5883
Counterspells,5781
Populate,5758
Defenders,5727
Snow,5719
Food,5707
Mutate,5493
Prowess,5190
Politics,5138
Devotion,5106
Pingers,4936
Anthems,4901
Fight,4421
Tap / Untap,4306
Power,4283
Activated Abilities,4191
Unnatural,4132
Ad Nauseam,4054
Dungeon,3967
Zoo,3916
Flash,3880
Unblockable,3732
Sunforger,3685
Sea Creatures,3670
Foretell,3650
Discover,3612
Cheerios,3598
Triggered Abilities,3576
Dragon's Approach,3504
Party,3309
Curses,2871
Bounce,2821
Donate,2788
Eggs,2677
Shadowborn Apostles,2657
Keywords,2568
Modified Creatures,2511
Persistent Petitioners,2462
Aikido,2437
Self-Discard,2401
Haste,2351
Prison,2347
Flashback,2310
Madness,2203
Counters Matter,2182
Multicolor Matters,1966
Primal Surge,1933
Kaheera Companion,1904
Impulse Draw,1888
Convoke,1833
Modular,1771
Rock,1770
Polymorph,1716
Scry,1711
Guildgates,1570
Coin Flip,1519
Earthbending,1507
Tron,1474
Die Roll,1474
Weenies,1446
Amass,1380
Land Animation,1336
Relentless Rats,1323
The Ring,1281
Attractions,1209
Fling,1201
Experience Counters,1073
Shrines,1015
Outlaws,1002
Sneak Attack,987
Enrage,972
Surveil,963
Glass Cannon,962
Crime,952
Blood,948
Explore,931
Rad Counters,928
Firebending,921
Suspend,900
Delver,852
Charge Counters,849
Jegantha Companion,845
Obosh Companion,825
Adventures,800
Time Counters,787
Deserts,782
Exalted,780
Hand Size,768
Keruga Companion,750
Myriad,730
Annihilator,628
Extra Upkeeps,626
Life Exchange,609
Devoid,608
Slime Against Humanity,590
Connive,584
Lessons,549
Hare Apparent,544
Lurrus Companion,531
Airbending,517
Blue Moon,490
Rooms,479
Evoke,467
Looting,448
Stoneblade,442
Vanilla,427
Indestructible,426
Creatureless,417
Landwalk,412
Umori Companion,388
Waterbending,388
Freerunning,347
Offspring,337
Delirium,333
Villainous Choice,331
Turbo Fog,309
Saboteurs,308
Old School,306
Reach,298
Voting,272
Color Hack,268
Lure,251
Gyruda Companion,251
Spore Counters,248
Type Hack,245
Speed,244
Self-Destruct,243
Day / Night,238
LTB Effects,238
Transform,223
Heroic,211
Descend,207
Warp,203
Phasing,202
Battles,193
Hellbent,187
Banding,180
Heroes,173
Kicker,171
Skulk,158
Sneak,156
Improvise,152
Plot,149
Paradox,148
Mayhem,143
Zirda Companion,140
Web-slinging,122
Oil Counters,119
Towns,110
Tempest Hawk,108
Stickers,106
All Spells,99
Craft,87
Bobbleheads,82
Templar Knights,76
Exploit,59
Bloodthirst,49
Servos,43
Squad,43
Sunburst,40
Caves,38
Hippos,18
Dandan,6
European Highlander,5
